iter	Logloss
0	0.6776505206
1	0.6682672255
2	0.6515330136
3	0.6376480941
4	0.6223399919
5	0.6093449241
6	0.59457359
7	0.5781919763
8	0.5654808382
9	0.5515338893
10	0.5384537494
11	0.525871238
12	0.5149349686
13	0.5040483141
14	0.4933176156
15	0.4825485657
16	0.4732620903
17	0.4673429945
18	0.4565287755
19	0.447452344
20	0.4377648672
21	0.4318890325
22	0.4264455048
23	0.416620336
24	0.4066203017
25	0.3977597449
26	0.3893261213
27	0.3817263496
28	0.3779063254
29	0.3704236525
30	0.3617922258
31	0.354401825
32	0.3461176993
33	0.339513518
34	0.3358444254
35	0.3289900509
36	0.3229993978
37	0.3166414348
38	0.3106606137
39	0.3052593548
40	0.2999774333
41	0.2949013281
42	0.2887823415
43	0.2843681387
44	0.2794886999
45	0.2746866288
46	0.2694414868
47	0.2646495491
48	0.2603787912
49	0.2560792094
50	0.2519179676
51	0.2478373402
52	0.2455432947
53	0.2415086349
54	0.2379712772
55	0.2337251367
56	0.2303483085
57	0.2267169795
58	0.2230142153
59	0.2202912329
60	0.2172433675
61	0.213641567
62	0.2100370724
63	0.2070026949
64	0.2035457639
65	0.200979273
66	0.1979387222
67	0.1953288672
68	0.1924379869
69	0.1905976721
70	0.1890008927
71	0.1862953685
72	0.183243441
73	0.1805856659
74	0.1781690827
75	0.1761920031
76	0.1746664065
77	0.1735018619
78	0.1718945388
79	0.1689691617
80	0.1669695409
81	0.1657215268
82	0.1635052748
83	0.1621468385
84	0.1605755148
85	0.1595188955
86	0.1585688249
87	0.1563196731
88	0.155116661
89	0.1535352023
90	0.1521984262
91	0.1504700566
92	0.1487303624
93	0.1469895858
94	0.1452233991
95	0.1436870819
96	0.1424047269
97	0.1407627399
98	0.1395380805
99	0.1378543315
100	0.1365145676
101	0.1350762088
102	0.133967966
103	0.1328681321
104	0.1320449515
105	0.1305924077
106	0.1294254386
107	0.1284820599
108	0.1274107941
109	0.1262814743
110	0.1253232444
111	0.1242746269
112	0.1234998732
113	0.1223173325
114	0.1209001528
115	0.1196856787
116	0.1186192678
117	0.1179305843
118	0.1168066051
119	0.1156388202
120	0.114623443
121	0.1142862658
122	0.1132534599
123	0.1129461455
124	0.1122345065
125	0.1116195118
126	0.1110575338
127	0.1104912588
128	0.1098636512
129	0.1088162199
130	0.1084589221
131	0.1076180751
132	0.1068578801
133	0.105908869
134	0.1048338834
135	0.1041073863
136	0.1032664144
137	0.1027246347
138	0.1019129381
139	0.1014597814
140	0.1006434607
141	0.1003709662
142	0.09961721785
143	0.09922464555
144	0.09847288915
145	0.0979563608
146	0.09783329044
147	0.09727809384
148	0.09653309435
149	0.09591522362
150	0.0956158097
151	0.09485510204
152	0.09420971485
153	0.09384573756
154	0.09353732941
155	0.09297384669
156	0.09278322714
157	0.09212640887
158	0.09177792284
159	0.09110072555
160	0.09022495742
161	0.08975118107
162	0.08922001144
163	0.08864323881
164	0.08811293055
165	0.08786358296
166	0.0877075577
167	0.08765879057
168	0.08700944375
169	0.08689783223
170	0.08638550016
171	0.08570467365
172	0.08501075204
173	0.08463504537
174	0.08432119048
175	0.08371686682
176	0.08347483632
177	0.08331250996
178	0.08326676942
179	0.08323646181
180	0.08287362093
181	0.08280944112
182	0.08266678683
183	0.08209549831
184	0.0815751319
185	0.08104841552
186	0.08097922311
187	0.08074175143
188	0.08071831643
189	0.08029783856
190	0.08012432694
191	0.07979247913
192	0.07937964831
193	0.07881191901
194	0.07868431228
195	0.07860987821
196	0.07857723461
197	0.07838862221
198	0.07833717822
199	0.07828329882
200	0.07820828923
201	0.07805014064
202	0.0775763443
203	0.07743943123
204	0.07730840153
205	0.07673887747
206	0.07648187546
207	0.07631955018
208	0.07598314714
209	0.0758574837
210	0.0758287218
211	0.0757828845
212	0.07545758435
213	0.07540816714
214	0.07514403181
215	0.07509346052
216	0.07502789085
217	0.0746792757
218	0.07464133449
219	0.07460215025
220	0.0745566467
221	0.07452260199
222	0.07417993152
223	0.07413483161
224	0.07412556617
225	0.07385577958
226	0.0737069066
227	0.07324255853
228	0.07319883341
229	0.07315938082
230	0.07309868954
231	0.07276401017
232	0.07266082059
233	0.07261049918
234	0.07255992899
235	0.07240900493
236	0.07193628577
237	0.07188434387
238	0.07184528957
239	0.07177816901
240	0.07174233973
241	0.07170260675
242	0.07164476138
243	0.07161560533
244	0.07157576411
245	0.07152304447
246	0.0714907689
247	0.07143539245
248	0.07140791075
249	0.07129900516
250	0.07122741729
251	0.07120190402
252	0.07116688714
253	0.07097157507
254	0.07094952084
255	0.07090749551
256	0.07074108299
257	0.07071003464
258	0.07065637421
259	0.07044553156
260	0.07039802383
261	0.07003958067
262	0.06998727913
263	0.06985127213
264	0.06975548653
265	0.06961731091
266	0.06954255066
267	0.0694996241
268	0.06940277873
269	0.06937630981
270	0.06935919757
271	0.06931580103
272	0.06919458296
273	0.06915609163
274	0.06910949832
275	0.06905929333
276	0.06901032232
277	0.06895719324
278	0.06891538569
279	0.06851955068
280	0.06846792462
281	0.06831834813
282	0.06827252951
283	0.06792110403
284	0.0678827969
285	0.06778030389
286	0.06775572285
287	0.06750647601
288	0.06747000925
289	0.06742823466
290	0.0673913331
291	0.06734781761
292	0.06700087674
293	0.06696221498
294	0.06651363632
295	0.06637160841
296	0.06632290513
297	0.06612708927
298	0.06596781092
299	0.06578778132
300	0.06573237401
301	0.06567143466
302	0.06561517498
303	0.06558194701
304	0.06548315399
305	0.06537001577
306	0.06530024207
307	0.06526948478
308	0.06522238779
309	0.06517997591
310	0.06514882942
311	0.06496556196
312	0.06488603655
313	0.0645857299
314	0.06455694722
315	0.06452726494
316	0.06449380861
317	0.06445330361
318	0.06441630224
319	0.06438504564
320	0.06433402324
321	0.06428225424
322	0.06426202419
323	0.06420952833
324	0.06389660889
325	0.06386764775
326	0.06381341068
327	0.06362517681
328	0.06331431305
329	0.06308195368
330	0.06304837011
331	0.06300585239
332	0.06295242755
333	0.06291412426
334	0.06282803498
335	0.06280044613
336	0.06277396912
337	0.06272654933
338	0.06268901407
339	0.06264949298
340	0.06254541566
341	0.06251619503
342	0.06238288251
343	0.06234097907
344	0.06229818934
345	0.06202656097
346	0.06197404865
347	0.06173788441
348	0.0616769789
349	0.06163288126
350	0.06153906866
351	0.06150552727
352	0.06146153494
353	0.06133656517
354	0.06122454318
355	0.06106484685
356	0.06103811111
357	0.06083315991
358	0.06069569277
359	0.06066872263
360	0.06055432622
361	0.06051357267
362	0.06029087064
363	0.06024188655
364	0.0602105404
365	0.05994888318
366	0.05993424238
367	0.05991285838
368	0.05987857855
369	0.05982220546
370	0.05974893491
371	0.05970221339
372	0.05946379395
373	0.05941824679
374	0.05937711357
375	0.05929643679
376	0.05927240123
377	0.05922731067
378	0.05918700723
379	0.05912586106
380	0.05908656843
381	0.0590462223
382	0.0590009916
383	0.05890301735
384	0.05869512878
385	0.05866443652
386	0.05842965542
387	0.05839697332
388	0.05836158739
389	0.05831101668
390	0.05828889607
391	0.05826106799
392	0.05819902355
393	0.05807901963
394	0.05805255024
395	0.0580018607
396	0.05796279236
397	0.05792094488
398	0.05787245176
399	0.05782213292
400	0.05778720167
401	0.05775585345
402	0.05772840384
403	0.0577005307
404	0.05767547808
405	0.05763434941
406	0.05754858052
407	0.05750534714
408	0.05734013776
409	0.05710085848
410	0.05705668124
411	0.05699580586
412	0.05697366872
413	0.05685641358
414	0.05682800167
415	0.05674981937
416	0.0567197919
